table_history_id,customer_id,postdate,changes
3732389,1634015,"2020-11-01 05:07:17","last_billed_date-^!^!^-2020-10-01 -^!^!^-2020-11-01 @#@#@#next_bill_date-^!^!^-2020-11-01 -^!^!^-2020-12-01 @#@#@#"
3741965,1670321,"2020-11-01 05:07:57","last_billed_date-^!^!^-2020-10-01 -^!^!^-2020-11-01 @#@#@#next_bill_date-^!^!^-2020-11-01 -^!^!^-2020-12-01 @#@#@#"
3941590,1618630,"2020-12-20 15:12:21","membership_exp_date-^!^!^-2020-10-24 -^!^!^-2021-01-19 @#@#@#membership_start_date-^!^!^-2020-09-24 -^!^!^-2020-12-20 @#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
3941591,1618630,"2020-12-20 15:12:21","membership_exp_date-^!^!^-2020-10-24 -^!^!^-2021-01-19 @#@#@#membership_start_date-^!^!^-2020-09-24 -^!^!^-2020-12-20 @#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
3941911,1618630,"2020-12-20 16:01:52",do_not_mail-^!^!^-0-^!^!^-1@#@#@#
4002678,1634015,"2021-01-01 10:13:26","last_billed_date-^!^!^-2020-11-01 -^!^!^-2021-01-01 @#@#@#next_bill_date-^!^!^-2020-12-01 -^!^!^-2021-02-01 @#@#@#"
4011982,1670321,"2021-01-01 10:15:25","last_billed_date-^!^!^-2020-11-01 -^!^!^-2021-01-01 @#@#@#next_bill_date-^!^!^-2020-12-01 -^!^!^-2021-02-01 @#@#@#"
4264745,1634015,"2021-02-01 09:55:55","last_billed_date-^!^!^-2021-01-01 -^!^!^-2021-02-01 @#@#@#next_bill_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#"
4274245,1670321,"2021-02-01 09:58:05","last_billed_date-^!^!^-2021-01-01 -^!^!^-2021-02-01 @#@#@#next_bill_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#"
4531261,1618630,"2021-02-27 13:36:26","customer_type-^!^!^-MEMBER-^!^!^-GUEST@#@#@#membership_exp_date-^!^!^-2021-01-19 -^!^!^-0000-00-00 @#@#@#membership_start_date-^!^!^-2020-12-20 -^!^!^-0000-00-00 @#@#@#membership_form_of_payment-^!^!^-PREPAID-^!^!^-NONE@#@#@#last_billed_date-^!^!^-2020-06-01 -^!^!^-0000-00-00 @#@#@#next_bill_date-^!^!^-2020-07-01 -^!^!^-0000-00-00 @#@#@#"
4554682,1634015,"2021-03-01 10:05:59","last_billed_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#next_bill_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#"
4565011,1670321,"2021-03-01 10:08:35","last_billed_date-^!^!^-2021-02-01 -^!^!^-2021-03-01 @#@#@#next_bill_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#"
4773476,1618630,"2021-03-22 19:37:13","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2021-05-22 19:34:53@#@#@#membership_start_date-^!^!^--^!^!^-2021-03-22 19:34:53@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
4773477,1618630,"2021-03-22 19:37:21","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2021-05-22 19:34:53@#@#@#membership_start_date-^!^!^--^!^!^-2021-03-22 19:34:53@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
4863513,1634015,"2021-04-01 10:39:56","last_billed_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#next_bill_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#"
4874028,1670321,"2021-04-01 10:43:00","last_billed_date-^!^!^-2021-03-01 -^!^!^-2021-04-01 @#@#@#next_bill_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#"
5149815,1634015,"2021-05-01 07:16:10","last_billed_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#next_bill_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#"
5160509,1670321,"2021-05-01 07:18:20","last_billed_date-^!^!^-2021-04-01 -^!^!^-2021-05-01 @#@#@#next_bill_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#"
5185098,1634015,"2021-05-03 08:05:06",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5185100,1634015,"2021-05-03 08:06:36",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5400656,1634015,"2021-06-01 05:20:34","last_billed_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#next_bill_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#"
5411693,1670321,"2021-06-01 05:22:52","last_billed_date-^!^!^-2021-05-01 -^!^!^-2021-06-01 @#@#@#next_bill_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#"
5505880,1634015,"2021-07-01 02:32:06","last_billed_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#next_bill_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#"
5521550,1670321,"2021-07-01 02:35:22","last_billed_date-^!^!^-2021-06-01 -^!^!^-2021-07-01 @#@#@#next_bill_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#"
5629671,1634015,"2021-08-01 14:20:17","last_billed_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#next_bill_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#"
5645126,1670321,"2021-08-01 14:23:59","last_billed_date-^!^!^-2021-07-01 -^!^!^-2021-08-01 @#@#@#next_bill_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#"
5677952,1634015,"2021-08-07 19:42:38",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5677953,1634015,"2021-08-07 19:42:43",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
5714687,1618630,"2021-08-20 16:15:16","customer_type-^!^!^-MEMBER-^!^!^-GUEST@#@#@#membership_exp_date-^!^!^-2021-05-22 -^!^!^-0000-00-00 @#@#@#membership_start_date-^!^!^-2021-03-22 -^!^!^-0000-00-00 @#@#@#membership_form_of_payment-^!^!^-PREPAID-^!^!^-NONE@#@#@#"
5750459,1634015,"2021-09-01 07:16:05","last_billed_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#next_bill_date-^!^!^-2021-09-01 -^!^!^-2021-10-01 @#@#@#"
5765465,1670321,"2021-09-01 07:19:32","last_billed_date-^!^!^-2021-08-01 -^!^!^-2021-09-01 @#@#@#next_bill_date-^!^!^-2021-09-01 -^!^!^-2021-10-01 @#@#@#"
5783955,1670321,"2021-09-03 11:04:03","customer_type-^!^!^-MEMBER-^!^!^-PUNCH CARD@#@#@#membership_form_of_payment-^!^!^-BILLME-^!^!^-NONE@#@#@#last_billed_date-^!^!^-2021-09-01 -^!^!^-0000-00-00 @#@#@#eft_dues_amount-^!^!^-56-^!^!^-0@#@#@#next_bill_date-^!^!^-2021-10-01 -^!^!^-0000-00-00 @#@#@#"
5783956,1670321,"2021-09-03 11:04:30","customer_type-^!^!^-PUNCH CARD-^!^!^-MEMBER@#@#@#"
5783962,1670321,"2021-09-03 11:06:39","customer_type-^!^!^-MEMBER-^!^!^-PUNCH CARD@#@#@#current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#"
5783963,1670321,"2021-09-03 11:06:53","customer_type-^!^!^-MEMBER-^!^!^-PUNCH CARD@#@#@#current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#"
5856032,1634015,"2021-10-01 05:12:05","last_billed_date-^!^!^-2021-09-01 -^!^!^-2021-10-01 @#@#@#next_bill_date-^!^!^-2021-10-01 -^!^!^-2021-11-01 @#@#@#"
5989872,1634015,"2021-11-01 07:29:41",next_bill_date-^!^!^-2021-11-01-^!^!^-2021-12-01@#@#@#last_bill_date-^!^!^-2021-10-01-^!^!^-2021-11-01@#@#@#
6094185,1634015,"2021-11-24 16:35:32",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
6094186,1634015,"2021-11-24 16:35:32",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
6138963,1634015,"2021-12-01 07:35:37",next_bill_date-^!^!^-2021-12-01-^!^!^-2022-01-01@#@#@#last_bill_date-^!^!^-2021-11-01-^!^!^-2021-12-01@#@#@#
6313353,1634015,"2022-01-01 07:29:54",next_bill_date-^!^!^-2022-01-01-^!^!^-2022-02-01@#@#@#last_bill_date-^!^!^-2021-12-01-^!^!^-2022-01-01@#@#@#
6471594,1634015,"2022-02-01 06:44:41","last_billed_date-^!^!^-2022-01-01 -^!^!^-2022-02-01 @#@#@#next_bill_date-^!^!^-2022-02-01 -^!^!^-2022-03-01 @#@#@#"
6583071,1618630,"2022-02-19 14:26:46","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2022-03-20 14:26:34@#@#@#membership_start_date-^!^!^--^!^!^-2022-02-19 14:26:34@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
6583072,1618630,"2022-02-19 14:26:52","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2022-03-20 14:26:34@#@#@#membership_start_date-^!^!^--^!^!^-2022-02-19 14:26:34@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#"
6644540,1634015,"2022-03-01 07:32:34",next_bill_date-^!^!^-2022-03-01-^!^!^-2022-04-01@#@#@#last_bill_date-^!^!^-2022-02-01-^!^!^-2022-03-01@#@#@#
6816041,1634015,"2022-04-01 07:18:36",next_bill_date-^!^!^-2022-04-01-^!^!^-2022-05-01@#@#@#last_bill_date-^!^!^-2022-03-01-^!^!^-2022-04-01@#@#@#
6840581,1634015,"2022-04-01 19:37:58",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
6840582,1634015,"2022-04-01 19:37:58",current_status-^!^!^-FROZEN-^!^!^-OK@#@#@#
6907656,1618630,"2022-04-19 20:06:29",current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#
6907659,1618630,"2022-04-19 20:07:08","membership_exp_date-^!^!^-2022-03-20 -^!^!^-0000-00-00 @#@#@#membership_start_date-^!^!^-2022-02-19 -^!^!^-0000-00-00 @#@#@#membership_form_of_payment-^!^!^-PREPAID-^!^!^-BILLME@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#eft_dues_amount-^!^!^-0-^!^!^-56@#@#@#next_bill_date-^!^!^--^!^!^-2022-05-01 00:00:00@#@#@#"
6971367,1634015,"2022-05-01 07:43:30",next_bill_date-^!^!^-2022-05-01-^!^!^-2022-06-01@#@#@#last_bill_date-^!^!^-2022-04-01-^!^!^-2022-05-01@#@#@#
6973336,1618630,"2022-05-01 07:43:43",next_bill_date-^!^!^-2022-05-01-^!^!^-2022-06-01@#@#@#last_bill_date-^!^!^-0000-00-00-^!^!^-2022-05-01@#@#@#
7112608,1634015,"2022-06-01 07:17:31",next_bill_date-^!^!^-2022-06-01-^!^!^-2022-07-01@#@#@#last_bill_date-^!^!^-2022-05-01-^!^!^-2022-06-01@#@#@#
7114562,1618630,"2022-06-01 07:17:44",next_bill_date-^!^!^-2022-06-01-^!^!^-2022-07-01@#@#@#last_bill_date-^!^!^-2022-05-01-^!^!^-2022-06-01@#@#@#
7271071,1618630,"2022-07-01 07:47:35",next_bill_date-^!^!^-2022-07-01-^!^!^-2022-08-01@#@#@#last_bill_date-^!^!^-2022-06-01-^!^!^-2022-07-01@#@#@#
7339740,1634015,"2022-07-16 10:38:02","last_visit_date-^!^!^-2022-06-15 -^!^!^-2022-07-16 @#@#@#"
7415821,1618630,"2022-08-01 07:12:40",next_bill_date-^!^!^-2022-08-01-^!^!^-2022-09-01@#@#@#last_bill_date-^!^!^-2022-07-01-^!^!^-2022-08-01@#@#@#
7493458,1670321,"2022-08-17 19:01:30","last_visit_date-^!^!^-2022-06-20 -^!^!^-2022-08-17 @#@#@#"
7562417,1618630,"2022-09-01 07:32:49",next_bill_date-^!^!^-2022-09-01-^!^!^-2022-10-01@#@#@#last_bill_date-^!^!^-2022-08-01-^!^!^-2022-09-01@#@#@#
7657650,1634015,"2022-09-26 14:51:07",current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#
7657651,1634015,"2022-09-26 14:51:23","current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#eft_dues_amount-^!^!^-0-^!^!^-79@#@#@#next_bill_date-^!^!^-2022-07-01 -^!^!^-2022-10-01 @#@#@#"
7692278,1618630,"2022-10-01 07:18:26",next_bill_date-^!^!^-2022-10-01-^!^!^-2022-11-01@#@#@#last_bill_date-^!^!^-2022-09-01-^!^!^-2022-10-01@#@#@#
7693465,1634015,"2022-10-01 07:18:34",next_bill_date-^!^!^-2022-10-01-^!^!^-2022-11-01@#@#@#last_bill_date-^!^!^-2022-06-01-^!^!^-2022-10-01@#@#@#
7837818,1618630,"2022-11-01 07:28:43",next_bill_date-^!^!^-2022-11-01-^!^!^-2022-12-01@#@#@#last_bill_date-^!^!^-2022-10-01-^!^!^-2022-11-01@#@#@#
7913031,1670321,"2022-11-14 18:27:16","last_visit_date-^!^!^-2022-11-05 -^!^!^-2022-11-14 @#@#@#"
8003430,1618630,"2022-12-01 07:45:44",next_bill_date-^!^!^-2022-12-01-^!^!^-2023-01-01@#@#@#last_bill_date-^!^!^-2022-11-01-^!^!^-2022-12-01@#@#@#
8102147,1670321,"2022-12-21 10:27:16","customer_type-^!^!^-PUNCH CARD-^!^!^-MEMBER@#@#@#membership_exp_date-^!^!^--^!^!^-2023-03-21 10:26:56@#@#@#membership_start_date-^!^!^--^!^!^-2022-12-21 10:26:56@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-PREPAID@#@#@#"
8102149,1670321,"2022-12-21 10:27:41","gear_included-^!^!^-NEVER-^!^!^-DATE@#@#@#rental_gear_until-^!^!^--^!^!^-2023-03-21 00:00:00@#@#@#"
8176578,1618630,"2023-01-01 07:30:43",next_bill_date-^!^!^-2023-01-01-^!^!^-2023-02-01@#@#@#last_bill_date-^!^!^-2022-12-01-^!^!^-2023-01-01@#@#@#
8364507,1618630,"2023-02-01 07:36:44",next_bill_date-^!^!^-2023-02-01-^!^!^-2023-03-01@#@#@#last_bill_date-^!^!^-2023-01-01-^!^!^-2023-02-01@#@#@#
8521344,1618630,"2023-03-01 07:28:38",next_bill_date-^!^!^-2023-03-01-^!^!^-2023-04-01@#@#@#last_bill_date-^!^!^-2023-02-01-^!^!^-2023-03-01@#@#@#
8707627,1618630,"2023-04-01 07:24:52",next_bill_date-^!^!^-2023-04-01-^!^!^-2023-05-01@#@#@#last_bill_date-^!^!^-2023-03-01-^!^!^-2023-04-01@#@#@#
8784275,1670321,"2023-04-14 14:31:36","customer_type-^!^!^-MEMBER-^!^!^-GUEST@#@#@#membership_exp_date-^!^!^-2023-03-21 -^!^!^-0000-00-00 @#@#@#membership_start_date-^!^!^-2022-12-21 -^!^!^-0000-00-00 @#@#@#membership_form_of_payment-^!^!^-PREPAID-^!^!^-NONE@#@#@#"
8803326,1670321,"2023-04-18 17:53:42","last_visit_date-^!^!^-2023-04-14 -^!^!^-2023-04-18 @#@#@#"
8816533,1670321,"2023-04-21 16:30:24",customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#
8816535,1670321,"2023-04-21 16:30:52","customer_type-^!^!^-GUEST-^!^!^-MEMBER@#@#@#membership_form_of_payment-^!^!^-NONE-^!^!^-BILLME@#@#@#current_status-^!^!^-TERMINATED-^!^!^-OK@#@#@#eft_dues_amount-^!^!^-0-^!^!^-79@#@#@#next_bill_date-^!^!^--^!^!^-2023-05-01 00:00:00@#@#@#"
8881072,1618630,"2023-05-01 07:54:04",next_bill_date-^!^!^-2023-05-01-^!^!^-2023-06-01@#@#@#last_bill_date-^!^!^-2023-04-01-^!^!^-2023-05-01@#@#@#
9033017,1618630,"2023-06-01 07:44:02",next_bill_date-^!^!^-2023-06-01-^!^!^-2023-07-01@#@#@#last_bill_date-^!^!^-2023-05-01-^!^!^-2023-06-01@#@#@#
9080451,1670321,"2023-06-09 18:07:58","last_visit_date-^!^!^-2023-04-25 -^!^!^-2023-06-09 @#@#@#"
9185057,1618630,"2023-07-01 07:23:38",next_bill_date-^!^!^-2023-07-01-^!^!^-2023-08-01@#@#@#last_bill_date-^!^!^-2023-06-01-^!^!^-2023-07-01@#@#@#
9341378,1618630,"2023-08-01 07:19:58",next_bill_date-^!^!^-2023-08-01-^!^!^-2023-09-01@#@#@#last_bill_date-^!^!^-2023-07-01-^!^!^-2023-08-01@#@#@#
9363503,1670321,"2023-08-01 18:26:12","last_visit_date-^!^!^-2023-06-25 -^!^!^-2023-08-01 @#@#@#"
9495668,1618630,"2023-09-01 07:36:43",next_bill_date-^!^!^-2023-09-01-^!^!^-2023-10-01@#@#@#last_bill_date-^!^!^-2023-08-01-^!^!^-2023-09-01@#@#@#
9641394,1618630,"2023-10-01 07:18:01",next_bill_date-^!^!^-2023-10-01-^!^!^-2023-11-01@#@#@#last_bill_date-^!^!^-2023-09-01-^!^!^-2023-10-01@#@#@#
